zip,donations,total,NAME,variable,estimate,moe,donations_per_1000
20601,6976,190404.72999999975,ZCTA5 20601,population,27328,1457,255.26932084309135
20602,6758,109716.81999999996,ZCTA5 20602,population,28988,1690,233.1309507382365
20603,12854,248108.6100000006,ZCTA5 20603,population,32495,1906,395.5685490075396
20606,11,131.43,ZCTA5 20606,population,247,179,44.534412955465584
20607,6889,181393.81000000043,ZCTA5 20607,population,12080,1570,570.2814569536424
20608,337,2569.720000000003,ZCTA5 20608,population,603,189,558.8723051409619
20609,61,2290,ZCTA5 20609,population,1240,313,49.193548387096776
20611,46,1206,ZCTA5 20611,population,1127,275,40.816326530612244
20612,21,399.17,ZCTA5 20612,population,147,133,142.85714285714286
20613,6436,170352.85000000012,ZCTA5 20613,population,14800,1062,434.86486486486484
20615,25,633,ZCTA5 20615,population,524,233,47.709923664122144
20616,1703,38740.899999999994,ZCTA5 20616,population,6792,1180,250.736160188457
20617,274,7542.26,ZCTA5 20617,population,630,283,434.92063492063494
20618,313,6069.32,ZCTA5 20618,population,1087,369,287.94848206071754
20619,2733,63659.01000000006,ZCTA5 20619,population,13925,1248,196.2657091561939
20620,393,7357.65,ZCTA5 20620,population,1325,479,296.60377358490564
20621,66,967,ZCTA5 20621,population,775,368,85.16129032258064
20622,356,8922.109999999999,ZCTA5 20622,population,5471,1124,65.07037104734052
20623,2075,33616.96000000001,ZCTA5 20623,population,2457,389,844.5258445258446
20624,60,795,ZCTA5 20624,population,990,331,60.60606060606061
20625,454,9224.020000000004,ZCTA5 20625,population,1248,404,363.78205128205127
20626,240,3636.8600000000006,ZCTA5 20626,population,239,154,1004.18410041841
20628,43,12163.26,ZCTA5 20628,population,631,331,68.14580031695722
20629,37,813,ZCTA5 20629,population,1072,367,34.51492537313433
20630,371,24333.75,ZCTA5 20630,population,307,147,1208.469055374593
20632,21,2812.5,ZCTA5 20632,population,802,416,26.184538653366584
20634,1095,27256.079999999944,ZCTA5 20634,population,7853,1330,139.43715777409906
20636,2316,58391.37,ZCTA5 20636,population,11089,1415,208.85562268915143
20637,2083,40167.06999999999,ZCTA5 20637,population,6221,626,334.8336280340781
20639,3313,119571.28999999998,ZCTA5 20639,population,15058,1086,220.0159383716297
20640,1569,24599.82999999998,ZCTA5 20640,population,10629,900,147.6150155235676
20645,199,10778.3,ZCTA5 20645,population,763,271,260.81258191349934
20646,5566,130374.95000000004,ZCTA5 20646,population,21248,1174,261.95406626506025
20650,3964,144375.84000000023,ZCTA5 20650,population,15522,1211,255.37946140961216
20653,3608,81705.0799999999,ZCTA5 20653,population,27053,1548,133.36783351199497
20656,38,1569.76,ZCTA5 20656,population,203,119,187.19211822660097
20657,5067,125720.03000000009,ZCTA5 20657,population,21054,1291,240.66685665431748
20658,288,10475.370000000004,ZCTA5 20658,population,978,213,294.47852760736197
20659,2061,66697.38,ZCTA5 20659,population,23346,1541,88.28064764841943
20660,5,190,ZCTA5 20660,population,0,13,Inf
20662,316,3207.0199999999995,ZCTA5 20662,population,2590,464,122.00772200772201
20664,225,19794.23,ZCTA5 20664,population,2780,483,80.93525179856115
20667,37,1525.39,ZCTA5 20667,population,159,180,232.70440251572327
20670,100,2542.67,ZCTA5 20670,population,1403,419,71.27583749109053
20674,355,9889.67,ZCTA5 20674,population,807,389,439.9008674101611
20675,265,13192.1,ZCTA5 20675,population,2060,501,128.64077669902912
20676,4042,51759.59,ZCTA5 20676,population,2897,580,1395.2364515015533
20677,666,19220.51,ZCTA5 20677,population,2055,410,324.08759124087595
20678,2380,49224.85999999996,ZCTA5 20678,population,12874,846,184.8687276681684
20680,87,6197.360000000001,ZCTA5 20680,population,588,330,147.9591836734694
20684,90,3067.24,ZCTA5 20684,population,627,210,143.54066985645932
20685,2422,44961.41000000005,ZCTA5 20685,population,6750,915,358.8148148148148
20686,776,26377.35,ZCTA5 20686,population,963,129,805.8151609553479
20687,80,2937.49,ZCTA5 20687,population,360,210,222.2222222222222
20688,3855,84676.29000000008,ZCTA5 20688,population,1170,509,3294.871794871795
20689,201,18325.74,ZCTA5 20689,population,1884,607,106.68789808917198
20690,697,10894.629999999992,ZCTA5 20690,population,843,318,826.8090154211151
20692,161,5585.110000000001,ZCTA5 20692,population,721,310,223.3009708737864
20693,226,5676.370000000001,ZCTA5 20693,population,1210,518,186.77685950413223
20695,4407,98344.96999999994,ZCTA5 20695,population,11455,1481,384.7228284591881
20701,127,5610.76,ZCTA5 20701,population,794,271,159.94962216624685
20705,8949,263127.96999999945,ZCTA5 20705,population,28660,1914,312.2470341939986
20706,12313,314519.8699999994,ZCTA5 20706,population,43797,2670,281.1379774870425
20707,16759,392772.42999999854,ZCTA5 20707,population,36352,1204,461.0200264084507
20708,7135,155413.97000000026,ZCTA5 20708,population,27909,1610,255.65229854168908
20710,645,28141.24,ZCTA5 20710,population,9781,194,65.94417748696452
20711,1572,67949.20999999996,ZCTA5 20711,population,7435,1156,211.43241425689308
20712,4346,127500.21000000004,ZCTA5 20712,population,9630,483,451.2980269989616
20714,2108,41288.52999999997,ZCTA5 20714,population,4767,973,442.2068386826096
20715,17641,314771.77000000153,ZCTA5 20715,population,26244,1068,672.1917390641671
20716,9976,277360.8199999999,ZCTA5 20716,population,22340,1189,446.5532676812892
20720,17274,545108.1899999978,ZCTA5 20720,population,26253,1812,657.9819449205805
20721,27247,1016134.5099999992,ZCTA5 20721,population,30785,2089,885.0738996264414
20722,4938,57960.55000000015,ZCTA5 20722,population,6218,528,794.1460276616276
20723,12363,402577.18000000034,ZCTA5 20723,population,35845,1960,344.9016599246757
20724,6276,110552.95999999986,ZCTA5 20724,population,18345,1551,342.1095666394113
20732,4164,104842.46,ZCTA5 20732,population,10676,625,390.03372049456726
20733,1910,50651.11,ZCTA5 20733,population,2669,658,715.6238291494942
20735,15308,316990.6299999999,ZCTA5 20735,population,39399,1539,388.5377801467042
20736,3030,72934.04000000002,ZCTA5 20736,population,9274,835,326.7198619797283
20737,3706,102120.56000000011,ZCTA5 20737,population,24438,1646,151.64907111874948
20740,12587,317914.8899999996,ZCTA5 20740,population,36583,785,344.06691632725585
20742,56,12867.61,ZCTA5 20742,population,4263,645,13.136288998357964
20743,6852,165297.1299999999,ZCTA5 20743,population,38692,2248,177.09087149798407
20744,31497,615052.9699999988,ZCTA5 20744,population,55820,2945,564.2601218201362
20745,12754,230824.93999999977,ZCTA5 20745,population,29355,1871,434.4745358541986
20746,5612,110835.93000000008,ZCTA5 20746,population,28078,1728,199.87178573972506
20747,9223,156460.6300000003,ZCTA5 20747,population,39279,1803,234.80740344713462
20748,12089,230580.97000000085,ZCTA5 20748,population,40763,2849,296.5679660476412
20751,943,30918.42999999999,ZCTA5 20751,population,2081,396,453.14752522825563
20754,1806,52836.890000000014,ZCTA5 20754,population,7344,1018,245.91503267973854
20755,718,13748.61,ZCTA5 20755,population,10011,991,71.72110678253921
20758,169,6653.169999999999,ZCTA5 20758,population,542,165,311.8081180811808
20759,4003,216717.4500000003,ZCTA5 20759,population,6125,667,653.5510204081633
20762,160,2821.08,ZCTA5 20762,population,3099,395,51.62955792191029
20763,1067,16640.289999999997,ZCTA5 20763,population,2219,748,480.8472284812979
20764,1593,58113.28999999995,ZCTA5 20764,population,3280,607,485.6707317073171
20765,376,18800.06,ZCTA5 20765,population,604,255,622.5165562913907
20769,7457,183612.53000000017,ZCTA5 20769,population,6812,1073,1094.6858485026426
20770,17073,470197.8199999965,ZCTA5 20770,population,28458,673,599.9367488931057
20771,16,223,ZCTA5 20771,population,0,13,Inf
20772,24555,701566.209999997,ZCTA5 20772,population,52596,2397,466.8605977640885
20774,28133,790564.2600000018,ZCTA5 20774,population,51010,2662,551.5193099392276
20776,1344,43335.319999999985,ZCTA5 20776,population,2966,739,453.13553607552257
20777,2707,111532.35999999994,ZCTA5 20777,population,3220,494,840.6832298136646
20778,1436,39547.169999999984,ZCTA5 20778,population,2564,673,560.0624024960998
20779,687,29339.599999999988,ZCTA5 20779,population,992,354,692.5403225806451
20781,5853,231033.8899999996,ZCTA5 20781,population,13299,1385,440.1082788179562
20782,12863,595571.0799999984,ZCTA5 20782,population,34625,1977,371.4945848375451
20783,5720,339753.4999999998,ZCTA5 20783,population,50387,2635,113.52134479131522
20784,5749,90245.51000000014,ZCTA5 20784,population,32191,1811,178.59028921127023
20785,11413,374647.23999999976,ZCTA5 20785,population,41281,1821,276.47101572151837
20794,2890,65081.25000000002,ZCTA5 20794,population,16035,1029,180.23074524477707
