zip,donations,total,NAME,variable,estimate,moe,donations_per_1000
20601,1425,35154.4,ZCTA5 20601,population,27328,1457,52.144320843091336
20602,897,22974.03999999998,ZCTA5 20602,population,28988,1690,30.94383882986063
20603,1449,54640.36000000012,ZCTA5 20603,population,32495,1906,44.59147561163255
20606,21,293.59999999999997,ZCTA5 20606,population,247,179,85.02024291497976
20607,578,12869.199999999992,ZCTA5 20607,population,12080,1570,47.8476821192053
20608,26,960.7,ZCTA5 20608,population,603,189,43.117744610281925
20609,48,2305.4399999999996,ZCTA5 20609,population,1240,313,38.70967741935484
20611,35,826.2,ZCTA5 20611,population,1127,275,31.055900621118013
20612,146,717.07,ZCTA5 20612,population,147,133,993.1972789115646
20613,1242,21712.14999999992,ZCTA5 20613,population,14800,1062,83.91891891891892
20615,156,2400.2400000000016,ZCTA5 20615,population,524,233,297.70992366412213
20616,292,6938.1399999999985,ZCTA5 20616,population,6792,1180,42.99175500588928
20617,122,2581.13,ZCTA5 20617,population,630,283,193.65079365079364
20618,111,3086.189999999999,ZCTA5 20618,population,1087,369,102.11591536338547
20619,1321,50741.130000000056,ZCTA5 20619,population,13925,1248,94.86535008976661
20620,163,5863.94,ZCTA5 20620,population,1325,479,123.01886792452831
20621,39,1845.489999999999,ZCTA5 20621,population,775,368,50.32258064516129
20622,383,17405.309999999994,ZCTA5 20622,population,5471,1124,70.00548345823434
20623,103,2147.4399999999996,ZCTA5 20623,population,2457,389,41.92104192104192
20624,18,727.2300000000001,ZCTA5 20624,population,990,331,18.18181818181818
20625,26,1835.3699999999997,ZCTA5 20625,population,1248,404,20.833333333333332
20626,16,1488.6,ZCTA5 20626,population,239,154,66.94560669456067
20628,88,2661.529999999999,ZCTA5 20628,population,631,331,139.4611727416799
20630,57,8129.480000000001,ZCTA5 20630,population,307,147,185.66775244299674
20632,74,1660.4599999999996,ZCTA5 20632,population,802,416,92.26932668329177
20634,2590,41293.05999999995,ZCTA5 20634,population,7853,1330,329.81026359353115
20636,1831,39801.99999999989,ZCTA5 20636,population,11089,1415,165.11858598611238
20637,1342,50569.88999999994,ZCTA5 20637,population,6221,626,215.72094518566146
20639,4060,78700.29000000027,ZCTA5 20639,population,15058,1086,269.6241200690663
20640,1132,23500.449999999957,ZCTA5 20640,population,10629,900,106.50108194562047
20645,104,2337.07,ZCTA5 20645,population,763,271,136.3040629095675
20646,5750,92164.8600000004,ZCTA5 20646,population,21248,1174,270.6137048192771
20650,6687,111278.18000000074,ZCTA5 20650,population,15522,1211,430.80788558175493
20653,2289,45948.46000000004,ZCTA5 20653,population,27053,1548,84.61168816767086
20656,4,4,ZCTA5 20656,population,203,119,19.704433497536947
20657,1350,80439.92000000038,ZCTA5 20657,population,21054,1291,64.12083214591053
20658,11,1121.18,ZCTA5 20658,population,978,213,11.247443762781186
20659,3755,91069.19000000054,ZCTA5 20659,population,23346,1541,160.84125760301552
20660,2,2000,ZCTA5 20660,population,0,13,Inf
20662,133,9742.390000000005,ZCTA5 20662,population,2590,464,51.351351351351354
20664,281,8245.47,ZCTA5 20664,population,2780,483,101.07913669064749
20667,30,1417.13,ZCTA5 20667,population,159,180,188.67924528301887
20670,19,705.89,ZCTA5 20670,population,1403,419,13.5424091233072
20674,209,9114.100000000006,ZCTA5 20674,population,807,389,258.9838909541512
20675,131,4188.69,ZCTA5 20675,population,2060,501,63.592233009708735
20676,691,23146.85999999999,ZCTA5 20676,population,2897,580,238.52260959613395
20677,10510,52261.30000000037,ZCTA5 20677,population,2055,410,5114.355231143552
20678,2547,50940.49999999995,ZCTA5 20678,population,12874,846,197.84060897933819
20680,44,1978.8,ZCTA5 20680,population,588,330,74.82993197278911
20684,75,3987.879999999999,ZCTA5 20684,population,627,210,119.61722488038278
20685,1045,30678.48999999994,ZCTA5 20685,population,6750,915,154.8148148148148
20686,5,389.33,ZCTA5 20686,population,963,129,5.192107995846314
20687,7,244.3,ZCTA5 20687,population,360,210,19.444444444444446
20688,2245,37209.47999999994,ZCTA5 20688,population,1170,509,1918.803418803419
20689,49,2773.0099999999993,ZCTA5 20689,population,1884,607,26.008492569002126
20690,735,14588.270000000004,ZCTA5 20690,population,843,318,871.8861209964413
20692,20,1091.63,ZCTA5 20692,population,721,310,27.739251040221916
20693,52,1714.5400000000006,ZCTA5 20693,population,1210,518,42.97520661157025
20695,426,14520.069999999992,ZCTA5 20695,population,11455,1481,37.189000436490616
20701,15,1439.86,ZCTA5 20701,population,794,271,18.891687657430733
20705,805,22559.73999999999,ZCTA5 20705,population,28660,1914,28.087927424982556
20706,1107,29126.840000000055,ZCTA5 20706,population,43797,2670,25.275703815329816
20707,1548,34556.44999999992,ZCTA5 20707,population,36352,1204,42.583626760563384
20708,789,54085.47,ZCTA5 20708,population,27909,1610,28.270450392346554
20710,72,2001.2699999999995,ZCTA5 20710,population,9781,194,7.361210510172784
20711,727,37307.29999999996,ZCTA5 20711,population,7435,1156,97.78076664425018
20712,173,4516.9000000000005,ZCTA5 20712,population,9630,483,17.964693665628243
20714,382,12063.769999999988,ZCTA5 20714,population,4767,973,80.13425634571009
