ORGANIZATION,PROGRAM,DESCRIPTION,YTD_AMOUNT,QTD_AMOUNT                                                                                                                                                                                                    
2024 OFFICE OF THE SPEAKER,OFFICIAL EXPENSES - LEADERSHIP,SUPPLIES AND MATERIALS,34236.1,34236.1
2024 OFFICE OF THE SPEAKER,OFFICIAL EXPENSES - LEADERSHIP,OFFICIAL EXPENSES - LEADERSHIP TOTALS:,34236.1,34236.1
2024 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,7467964.43,1970702.85
2024 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,TRAVEL,63793.96,17235.13
2024 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,RENT  COMMUNICATION  UTILITIES,74833.97,23215.37
2024 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,21481.24,14177.63
2024 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,OTHER SERVICES,218579.4,68739.05
2024 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,489114.79,125293.17
2024 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,EQUIPMENT,49671.66,13386.55
2024 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,8385439.45,2232749.75
2024 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,OFFICE TOTALS:,8419675.55,2266985.85
2024 OFFICE OF THE SPEAKER,INTERN ALLOWANCES,PERSONNEL COMPENSATION,105606.25,18317.25
2024 OFFICE OF THE SPEAKER,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,105606.25,18317.25
2024 OFFICE OF THE SPEAKER,INTERN ALLOWANCES,OFFICE TOTALS:,105606.25,18317.25
2024 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,3323387.85,925945.8
2024 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,TRAVEL,9569.7,1094.5
2024 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,RENT  COMMUNICATION  UTILITIES,82005.96,18221.12
2024 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,689.74,676.44
2024 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,OTHER SERVICES,21360.1,7130.93
2024 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,16391.18,6822.81
2024 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,EQUIPMENT,60375.85,13251
